Megachile sp.,"Host ""Megachile sp."" was matched to ""Megachile"" 132116"
Santalum acuminatum,"Host ""Santalum acuminatum"" was matched to ""Lasioglossum acuminatum"" 586979"
Lasioglossum leviense,"Host ""Lasioglossum leviense"" was matched to ""Lasioglossum"" 88467"
Lasioglossum viridatum,"Host ""Lasioglossum viridatum"" was matched to ""Lasioglossum viridatum group sp. BOLD-2016"" 1895188"
Lasioglossum apopkense,"Host ""Lasioglossum apopkense"" was matched to ""Lasioglossum"" 88467"
Megachile sp. (leafcutter bee),"Host ""Megachile sp. (leafcutter bee)"" was matched to ""Megachile"" 132116"
Megachile sp. (policaris),"Host ""Megachile sp. (policaris)"" was matched to ""Megachile policaris"" 1732052"
Trigona silvestriana or Scaptotrigona subobscuripennis?,"Host ""Trigona silvestriana or Scaptotrigona subobscuripennis?"" was matched to ""Trigona silvestriana"" 478163"
Anthophora sp.,"Host ""Anthophora sp."" was matched to ""Anthophora"" 60896"
Prosopis cineraria,"Host ""Prosopis cineraria"" was matched to ""Prosopis"" 406330"
Prosopis juliflora,"Host ""Prosopis juliflora"" was matched to ""Prosopis"" 406330"
Eschatocerus niger galls on Prosopis,"Host ""Eschatocerus niger galls on Prosopis"" was matched to ""Prosopis"" 406330"
Prosopis strombulifera,"Host ""Prosopis strombulifera"" was matched to ""Prosopis"" 406330"
Prosopis chilensis,"Host ""Prosopis chilensis"" was matched to ""Prosopis"" 406330"
Osmia sp. (mason bee),"Host ""Osmia sp. (mason bee)"" was matched to ""Osmia"" 124287"
Agapostemon sp.,"Host ""Agapostemon sp."" was matched to ""Agapostemon"" 88590"
Osmia sp.,"Host ""Osmia sp."" was matched to ""Osmia"" 124287"
Trachymyrmex arizonensis,"Host ""Trachymyrmex arizonensis"" was matched to ""Ceratina arizonensis"" 2484123"
Crocodylus siamensis,"Host ""Crocodylus siamensis"" was matched to ""Pseudapis siamensis"" 2448206"
Euphausia superba,"Host ""Euphausia superba"" was matched to ""Eufriesea superba"" 516761"
Tursiops truncatus,"Host ""Tursiops truncatus"" was matched to ""Biastes truncatus"" 600967"
