BioProject acc,BioSample acc,SRA experiment entries,NCBI Nucleotide entries,Host,Organism,Collection date,Geo. loc. name,Library source(s),Library layout(s),Assay type(s),Instrument(s),Center name,BioSample package acc.
PRJDB11061,SAMD00272082,1,0,Tetragonula,insect gut metagenome,4/22/2017,"Philippines:Bicol Region, Camarines Sur, Buhi",METAGENOMIC,PAIRED,AMPLICON,Illumina MiSeq,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",MIMARKS.specimen.host-associated.5.0
PRJDB11061,SAMD00272083,1,0,Tetragonula,insect gut metagenome,4/22/2017,"Philippines:Bicol Region, Sorsogon, Bulusan",METAGENOMIC,PAIRED,AMPLICON,Illumina MiSeq,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",MIMARKS.specimen.host-associated.5.0
PRJDB11061,SAMD00272084,1,0,Tetragonula,insect gut metagenome,4/22/2017,"Philippines:Bicol Region, Camarines Sur, Caramoan",METAGENOMIC,PAIRED,AMPLICON,Illumina MiSeq,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",MIMARKS.specimen.host-associated.5.0
PRJDB11061,SAMD00272085,1,0,Tetragonula,insect gut metagenome,4/22/2017,"Philippines:Bicol Region, Albay, Daraga",METAGENOMIC,PAIRED,AMPLICON,Illumina MiSeq,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",MIMARKS.specimen.host-associated.5.0
PRJDB11061,SAMD00272086,1,0,Tetragonula,insect gut metagenome,4/22/2017,"Philippines:Bicol Region, Albay, Libon",METAGENOMIC,PAIRED,AMPLICON,Illumina MiSeq,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",MIMARKS.specimen.host-associated.5.0
PRJDB11061,SAMD00272087,1,0,Tetragonula,insect gut metagenome,4/22/2017,"Philippines:Bicol Region, Albay, Ligao",METAGENOMIC,PAIRED,AMPLICON,Illumina MiSeq,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",MIMARKS.specimen.host-associated.5.0
PRJDB2873,SAMD00017150,1,0,Apis mellifera,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017151,1,0,Apis cerana japonica,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017152,1,0,Apis mellifera,terrestrial metagenome,10/24/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017158,1,0,Apis mellifera,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017166,1,0,Apis cerana japonica,terrestrial metagenome,10/24/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017171,1,0,Apis cerana japonica,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017172,1,0,Apis cerana japonica,terrestrial metagenome,10/24/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017184,1,0,Apis mellifera,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017191,1,0,Apis cerana japonica,terrestrial metagenome,10/24/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017196,1,0,Apis mellifera,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017226,1,0,Apis cerana japonica,terrestrial metagenome,10/22/2012,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017234,2,0,Xylocopa appendiculata circumvolans,terrestrial metagenome,6/16/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017236,2,0,Xylocopa appendiculata circumvolans,terrestrial metagenome,6/16/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017238,2,0,Xylocopa appendiculata circumvolans,terrestrial metagenome,6/16/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017240,2,0,Apis cerana japonica,terrestrial metagenome,6/16/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017242,2,0,Apis cerana japonica,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017244,2,0,Apis mellifera,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017246,2,0,Apis cerana japonica,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017252,2,0,Apis cerana japonica,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017254,2,0,Bombus ardens ardens,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017256,2,0,Bombus ardens ardens,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017261,2,0,Apis cerana japonica,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017263,2,0,Apis cerana japonica,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017265,2,0,Bombus ardens ardens,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017267,2,0,Bombus ardens ardens,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB2873,SAMD00017268,2,0,Bombus ardens ardens,terrestrial metagenome,6/22/2013,Japan:Shiga,METAGENOMIC,SINGLE,AMPLICON,Ion Torrent PGM,Kyoto University,MIMS.me.host-associated.5.0
PRJDB3349,SAMD00026405,1,0,Apis mellifera,honeybee metagenome,2012,Japan,METAGENOMIC,SINGLE,AMPLICON,454 GS FLX Titanium,"Yamada Bee Company, Inc",MIMS.me.plant-associated.5.0
PRJDB3349,SAMD00026406,1,0,Apis mellifera,honeybee metagenome,2012,Japan,METAGENOMIC,SINGLE,AMPLICON,454 GS FLX Titanium,"Yamada Bee Company, Inc",MIMS.me.plant-associated.5.0
PRJDB4237,SAMD00041258,1,0,Apis mellifera,gut metagenome,8/1/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041259,1,0,Apis mellifera,gut metagenome,8/2/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041260,1,0,Apis mellifera,gut metagenome,8/3/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041261,1,0,Apis mellifera,gut metagenome,8/4/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041262,1,0,Apis mellifera,gut metagenome,8/5/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041263,1,0,Apis mellifera,gut metagenome,8/6/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041264,1,0,Apis mellifera,gut metagenome,8/7/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041265,1,0,Apis mellifera,gut metagenome,8/8/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041266,1,0,Apis mellifera,gut metagenome,8/9/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041267,1,0,Apis mellifera,gut metagenome,8/10/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041268,1,0,Apis mellifera,gut metagenome,8/11/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041269,1,0,Apis mellifera,gut metagenome,8/12/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041270,1,0,Apis mellifera,gut metagenome,8/13/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041271,1,0,Apis mellifera,gut metagenome,8/14/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041272,1,0,Apis mellifera,gut metagenome,8/15/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
PRJDB4237,SAMD00041273,1,0,Apis mellifera,gut metagenome,8/16/2012,"USA:CA, Grass Valley",METAGENOMIC,SINGLE,AMPLICON,Illumina MiSeq,"Newton, Biology, Indiana University",MIMARKS.survey.host-associated.5.0
