BioProject acc,BioSample acc,SRA experiment entries,NCBI Nucleotide entries,Assay types,Center name,Instruments,Library layouts,Library sources,Organism,Host,Platform,Geo. loc. name,Collection date
PRJDB11061,SAMD00272082,1,0,AMPLICON,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",Illumina MiSeq,PAIRED,METAGENOMIC,insect gut metagenome,Tetragonula,Illumina MiSeq,"Philippines:Bicol Region, Camarines Sur, Buhi",4/22/2017
PRJDB11061,SAMD00272083,1,0,AMPLICON,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",Illumina MiSeq,PAIRED,METAGENOMIC,insect gut metagenome,Tetragonula,Illumina MiSeq,"Philippines:Bicol Region, Sorsogon, Bulusan",4/22/2017
PRJDB11061,SAMD00272084,1,0,AMPLICON,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",Illumina MiSeq,PAIRED,METAGENOMIC,insect gut metagenome,Tetragonula,Illumina MiSeq,"Philippines:Bicol Region, Camarines Sur, Caramoan",4/22/2017
PRJDB11061,SAMD00272085,1,0,AMPLICON,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",Illumina MiSeq,PAIRED,METAGENOMIC,insect gut metagenome,Tetragonula,Illumina MiSeq,"Philippines:Bicol Region, Albay, Daraga",4/22/2017
PRJDB11061,SAMD00272086,1,0,AMPLICON,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",Illumina MiSeq,PAIRED,METAGENOMIC,insect gut metagenome,Tetragonula,Illumina MiSeq,"Philippines:Bicol Region, Albay, Libon",4/22/2017
PRJDB11061,SAMD00272087,1,0,AMPLICON,"Functional Genomics Laboratory, National Institute of Molecular Biology and Biotechnology, University of the Philippines Diliman",Illumina MiSeq,PAIRED,METAGENOMIC,insect gut metagenome,Tetragonula,Illumina MiSeq,"Philippines:Bicol Region, Albay, Ligao",4/22/2017
PRJDB2873,SAMD00017150,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis mellifera,Ion Torrent PGM,Japan:Shiga,10/22/2012
PRJDB2873,SAMD00017151,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,10/22/2012
PRJDB2873,SAMD00017152,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis mellifera,Ion Torrent PGM,Japan:Shiga,10/24/2012
PRJDB2873,SAMD00017158,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis mellifera,Ion Torrent PGM,Japan:Shiga,10/22/2012
PRJDB2873,SAMD00017166,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,10/24/2012
PRJDB2873,SAMD00017171,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,10/22/2012
PRJDB2873,SAMD00017172,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,10/24/2012
PRJDB2873,SAMD00017184,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis mellifera,Ion Torrent PGM,Japan:Shiga,10/22/2012
PRJDB2873,SAMD00017191,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis cerana japonica,Ion Torrent PGM,Japan:Shiga,10/24/2012
PRJDB2873,SAMD00017196,1,0,AMPLICON,Kyoto University,Ion Torrent PGM,SINGLE,METAGENOMIC,terrestrial metagenome,Apis mellifera,Ion Torrent PGM,Japan:Shiga,10/22/2012
